word/phrase,rank,cat,newcat
good,87.2155357,,
product,53.31167289,,
quality,52.45064547,product,quality
nice,48.83028456,,
item,48.43943018,,
thank,47.85364982,,
seller,45.91306562,delivery,service
legit,44.99631809,product,quality
delivery,44.31515945,delivery,delivery
perfect,39.2091283,product,installation
fit,36.96794492,product,installation
thanks,35.87355883,,
great,35.69530087,,
fast,34.82626985,,
good quality,34.65781426,product,quality
wiper,28.20535518,,
fits,27.8196011,product,installation
fast delivery,27.3294914,delivery,delivery
packed,24.49405913,,product
ok,21.97170927,,
