word/phrase,rank,cat,newcat
good,46.48245296,,
delivery,31.32789043,delivery,delivery
fast,30.12826994,delivery,delivery
fast delivery,25.62191195,delivery,delivery
received,22.82350708,delivery,delivery
condition,18.50253173,product,product
good condition,18.11552758,product,product
product,16.74125996,product,product
item,16.67383097,,
received good,15.23953984,,
quality,12.74832571,quality,quality
easy,11.17879435,product,installation
seller,10.65547942,delivery,service
works,10.55309801,product,functional
item received,10.54714633,delivery,delivery
install,10.33763666,product,installation
great,10.26813761,,
good quality,9.019325346,product,quality
wipers,8.797065556,,
order,8.118358494,,
