Brand,subcat,frequency
TOY,Wiper blade Aerotwin Retro,3
SUB,Wiper blade Aerotwin Retro,3
HON,Wiper blade Aerotwin Retro,3
NIS,Wiper blade Aerotwin Retro,2
KIA,Wiper blade Aerotwin Retro,2
CHE,Wiper blade Aerotwin Retro,2
VOL,Wiper blade Aerotwin Retro,1
MIT,Wiper blade Aerotwin Retro,1
