Brand,subcat,frequency
MAZ,Wiper blade Advantage,3
KIA,Wiper blade Advantage,3
TOY,Wiper blade Advantage,2
REN,Wiper blade Advantage,2
HON,Wiper blade Advantage,2
SUB,Wiper blade Advantage,1
POR,Wiper blade Advantage,1
NIS,Wiper blade Advantage,1
MIT,Wiper blade Advantage,1
CHE,Wiper blade Advantage,1
