Brand,subcat,frequency
TOY,Wiper blade,42
FOR,Wiper blade,34
HON,Wiper blade,28
SUZ,Wiper blade,27
MIT,Wiper blade,15
SUB,Wiper blade,9
MAZ,Wiper blade,4
KIA,Wiper blade,4
ISU,Wiper blade,4
HYU,Wiper blade,4
PRO,Wiper blade,2
PED,Wiper blade,2
NIS,Wiper blade,2
JEE,Wiper blade,1
BMW,Wiper blade,1
