Brand,subcat,frequency
TOY,Wiper blade,34
SUZ,Wiper blade,18
HON,Wiper blade,5
MIT,Wiper blade,4
HYU,Wiper blade,4
FOR,Wiper blade,4
PED,Wiper blade,2
KIA,Wiper blade,2
JEE,Wiper blade,1
