Brand,subcat,frequency
FOR,Wiper blade Advantage,6
KIA,Wiper blade Advantage,3
MAZ,Wiper blade Advantage,2
HON,Wiper blade Advantage,2
TOY,Wiper blade Advantage,1
SUB,Wiper blade Advantage,1
MIT,Wiper blade Advantage,1
