word/phrase,rank,cat,newcat
good,6.408520054,product,product
product,5.474246985,,
fit,5.368306196,product,installation
quality,5.242299976,product,quality
fits,4.966703543,product,installation
thanks,4.491826061,,
legit,4.417998533,product,quality
seller,4.143053769,delivery,service
perfect,4.093695476,product,installation
thank,4.06669863,,
item,3.889602818,,
wiper,3.655752609,,
wipers,3.276756787,,
great,2.957389908,,
good quality,2.833375255,product,quality
perfect fit,2.628899414,product,installation
bosch,2.580514344,,brand
nice,2.521681588,product,product
perfectly,2.402392122,product,installation
excellent,2.268958725,product,product
