word/phrase,rank,cat,newcat
good,5.797917751,product,quality
received,3.325552583,delivery,delivery
received good,2.714846636,delivery,delivery
good condition,2.691744358,product,product
condition,2.691744358,product,product
item,2.354702293,,
fits,2.184434525,product,installation
ok,2,,
work,2,product,functional
product,1.810249663,,
recommended,1.684809992,,
lasting,1.411297603,product,durable
good product,1.37667494,,
days,1.305477175,delivery,delivery
seller,1.284791125,delivery,service
works,1.27886881,product,functional
genuine,1.27406354,product,quality
wiper,1.211140424,,
item received,1.178211821,delivery,delivery
days item,1.178211821,,delivery
