word/phrase,rank,sub
good,3.6415358823370285,Wiper blade Advantage
condition,2.064244687848458,Wiper blade Advantage
good condition,2.064244687848458,Wiper blade Advantage
received,2.0494782931215454,Wiper blade Advantage
received good,2.0204422805316318,Wiper blade Advantage
lasting,1.3982502273191963,Wiper blade Advantage
product,1.3291164913980587,Wiper blade Advantage
good product,1.3291164913980587,Wiper blade Advantage
working,0.7559289460184544,Wiper blade Advantage
recommended,0.7559289460184544,Wiper blade Advantage
item working,0.7559289460184544,Wiper blade Advantage
item,0.7559289460184544,Wiper blade Advantage
intended recommended,0.7559289460184544,Wiper blade Advantage
intended,0.7559289460184544,Wiper blade Advantage
working intended,0.7559289460184544,Wiper blade Advantage
good purchase,0.6743099258995581,Wiper blade Advantage
purchase,0.6743099258995581,Wiper blade Advantage
quiet buy,0.4586384078007991,Wiper blade Advantage
quiet,0.4586384078007991,Wiper blade Advantage
buy,0.4586384078007991,Wiper blade Advantage
lasting quiet,0.4586384078007991,Wiper blade Advantage
fix nicely,0.3328380501542591,Wiper blade Advantage
items receive,0.3328380501542591,Wiper blade Advantage
receive,0.3328380501542591,Wiper blade Advantage
fix,0.3328380501542591,Wiper blade Advantage
condition fix,0.3328380501542591,Wiper blade Advantage
nicely,0.3328380501542591,Wiper blade Advantage
items,0.3328380501542591,Wiper blade Advantage
receive good,0.3328380501542591,Wiper blade Advantage
wiper,0.30988188203741684,Wiper blade Advantage
delivery wiper,0.30988188203741684,Wiper blade Advantage
packaging,0.30988188203741684,Wiper blade Advantage
packaging broken,0.30988188203741684,Wiper blade Advantage
wiper packaging,0.30988188203741684,Wiper blade Advantage
delivery,0.30988188203741684,Wiper blade Advantage
broken received,0.30988188203741684,Wiper blade Advantage
fast,0.30988188203741684,Wiper blade Advantage
fast delivery,0.30988188203741684,Wiper blade Advantage
broken,0.30988188203741684,Wiper blade Advantage
usual good,0.2516001747234234,Wiper blade Advantage
usual,0.2516001747234234,Wiper blade Advantage
wipers,0.2516001747234234,Wiper blade Advantage
wipers good,0.2516001747234234,Wiper blade Advantage
price original,0.2516001747234234,Wiper blade Advantage
quality expected,0.2516001747234234,Wiper blade Advantage
quality,0.2516001747234234,Wiper blade Advantage
price,0.2516001747234234,Wiper blade Advantage
original,0.2516001747234234,Wiper blade Advantage
bosch wipers,0.2516001747234234,Wiper blade Advantage
expected,0.2516001747234234,Wiper blade Advantage
expected bosch,0.2516001747234234,Wiper blade Advantage
good quality,0.2516001747234234,Wiper blade Advantage
good price,0.2516001747234234,Wiper blade Advantage
bosch,0.2516001747234234,Wiper blade Advantage
