word/phrase,rank,sub
great seller,1.379241640248669,Wiper blade
great advertised,1.3685075934498978,Wiper blade
new,1.3679427563763114,Wiper blade
good job,1.3612800120012516,Wiper blade
job,1.3612800120012516,Wiper blade
damaged,1.3550241181839877,Wiper blade
good items,1.3418183446532743,Wiper blade
bosch,1.3364678354917472,Wiper blade
arrive,1.3210981360355616,Wiper blade
delivery seller,1.3184551500146693,Wiper blade
pair,1.31686666255285,Wiper blade
nd,1.3166171741777708,Wiper blade
best quality,1.3116416366949741,Wiper blade
looks,1.3083716512797205,Wiper blade
end,1.307635242224117,Wiper blade
thanks seller,1.303370734273026,Wiper blade
comes,1.297059004767178,Wiper blade
damage,1.295314565094058,Wiper blade
easy fix,1.279597484504844,Wiper blade
tq seller,1.2716134471762521,Wiper blade
installation,1.2688183355149374,Wiper blade
swift,1.2561406289601307,Wiper blade
cheap,1.2520671562601842,Wiper blade
okay,1.2499202711353015,Wiper blade
jt,1.2482081294153002,Wiper blade
fit perfectly,1.2325750724803337,Wiper blade
wiper good,1.2243066445098831,Wiper blade
need,1.2172815267802788,Wiper blade
really smooth,1.2092809218820535,Wiper blade
wiper arm,1.2020136416648108,Wiper blade
fit car,1.2019291061212973,Wiper blade
rubber,1.2017042156458693,Wiper blade
bubble,1.2006362900311642,Wiper blade
bad,1.1941172399790103,Wiper blade
kia,1.18917792627717,Wiper blade
good seller,1.187879143561616,Wiper blade
suitable,1.1632323169624272,Wiper blade
clear,1.1580089842805954,Wiper blade
crv,1.1577629679762018,Wiper blade
super,1.149635595876737,Wiper blade
buying,1.14444911735341,Wiper blade
goods received,1.1436630753984676,Wiper blade
bossku,1.1420588529214513,Wiper blade
fit honda,1.1388817687751778,Wiper blade
honda,1.1388817687751778,Wiper blade
reply,1.1336121935934862,Wiper blade
excellent delivery,1.127720601326475,Wiper blade
described fast,1.123650369111717,Wiper blade
boss,1.1029870053824689,Wiper blade
hope,1.0835030946325206,Wiper blade
genuine good,1.0816442450865575,Wiper blade
wiper doesnt,1.0778679229238317,Wiper blade
good fit,1.0746557178352103,Wiper blade
fiesta,1.0690320764118595,Wiper blade
ford,1.0690320764118595,Wiper blade
ford fiesta,1.0690320764118595,Wiper blade
condition fast,1.0538869727802604,Wiper blade
improve,1.0504261813091111,Wiper blade
post,1.0486573998273216,Wiper blade
cheaper,1.0443253242520296,Wiper blade
wipers crv,1.0439496820232996,Wiper blade
sy,1.0418037268771827,Wiper blade
month,1.0406244564179912,Wiper blade
havent,1.0378959996782626,Wiper blade
deal,1.0337695976549752,Wiper blade
long,1.0310815681538044,Wiper blade
works perfectly,1.0230583300193734,Wiper blade
wrong size,1.0209076581141268,Wiper blade
process really,1.0186734535772173,Wiper blade
love delivery,1.0186734535772173,Wiper blade
delivery process,1.0186734535772173,Wiper blade
process,1.0186734535772173,Wiper blade
smooth fast,1.0186734535772173,Wiper blade
kia rio,1.0130826792235559,Wiper blade
ub,1.0130826792235559,Wiper blade
rio,1.0130826792235559,Wiper blade
set,1.012559640109701,Wiper blade
windshield cleaner,1.0072300423976297,Wiper blade
baguihhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,1.0,Wiper blade
terbaekkkkk,1.0,Wiper blade
terbaikkk,1.0,Wiper blade
got,0.9909961769035278,Wiper blade
better,0.9907415442476083,Wiper blade
ngam,0.9803836800213338,Wiper blade
small gift,0.9790415735721534,Wiper blade
shop,0.9761366055133821,Wiper blade
stars,0.9756527573809931,Wiper blade
longer,0.9724072855179787,Wiper blade
price quality,0.967945743938985,Wiper blade
received goods,0.9676917083266149,Wiper blade
oder,0.9661760227112811,Wiper blade
test,0.9659514467505467,Wiper blade
satisfactory,0.9656882397312395,Wiper blade
condition good,0.96026536145374,Wiper blade
wrapping,0.9571797259350868,Wiper blade
broken,0.9552216877086797,Wiper blade
install works,0.9546230265985227,Wiper blade
replace,0.9510950690701373,Wiper blade
wiper fit,0.9507271946970625,Wiper blade
conditions,0.949970246132003,Wiper blade
finally,0.9387668256007405,Wiper blade
securely,0.9375210829118537,Wiper blade
viva,0.9259340978737667,Wiper blade
cun,0.9251586908884983,Wiper blade
tp,0.919899492743145,Wiper blade
thanks gift,0.9181299121114078,Wiper blade
buy thanks,0.9181299121114078,Wiper blade
value buy,0.9181299121114078,Wiper blade
items wrapped,0.9164732687930088,Wiper blade
like charm,0.9156966585173242,Wiper blade
charm,0.9156966585173242,Wiper blade
works like,0.9156966585173242,Wiper blade
fast received,0.9138711987226384,Wiper blade
reseller,0.9138711987226384,Wiper blade
reseller fast,0.9138711987226384,Wiper blade
recommended reseller,0.9138711987226384,Wiper blade
quick delivery,0.9103302187859862,Wiper blade
installed myvi,0.909101426594853,Wiper blade
myvi good,0.909101426594853,Wiper blade
hatchback,0.9072057331311334,Wiper blade
windscreen,0.9058884718940158,Wiper blade
friendly,0.9054617544108462,Wiper blade
superb product,0.89809583493119,Wiper blade
fit superb,0.89809583493119,Wiper blade
superb,0.89809583493119,Wiper blade
received fast,0.8979116972485339,Wiper blade
bubble wrap,0.8946523201466173,Wiper blade
promptly,0.8920407324227382,Wiper blade
quite,0.8911399992135361,Wiper blade
excellent quality,0.886511293267398,Wiper blade
quality valuable,0.886511293267398,Wiper blade
valuable fast,0.886511293267398,Wiper blade
valuable,0.886511293267398,Wiper blade
super fast,0.8807127597832779,Wiper blade
little,0.8791664942076464,Wiper blade
quick installation,0.8772734280641117,Wiper blade
livina,0.8760297898276519,Wiper blade
seller fast,0.8702175475836651,Wiper blade
jazz,0.8662347381740405,Wiper blade
honda jazz,0.8662347381740405,Wiper blade
dh,0.8661937594203226,Wiper blade
comfortable,0.8661273671253394,Wiper blade
room,0.8661273671253394,Wiper blade
plastic,0.8565056358991578,Wiper blade
nicely fit,0.8547757048575066,Wiper blade
come,0.8534690872863078,Wiper blade
best brg,0.8531139270832258,Wiper blade
good good,0.8522134891680933,Wiper blade
stuff quality,0.84865689400185,Wiper blade
verry,0.8459448994331533,Wiper blade
neo,0.8458262635299251,Wiper blade
proper,0.8440145375209752,Wiper blade
seller recommended,0.843850268051305,Wiper blade
really fast,0.8404110879418655,Wiper blade
morning,0.8391183470707568,Wiper blade
times,0.8380834724908004,Wiper blade
description,0.8360185154225483,Wiper blade
trusted,0.8352355918912959,Wiper blade
arrived promptly,0.8350992383503193,Wiper blade
installed fine,0.8350992383503193,Wiper blade
fine arrived,0.8350992383503193,Wiper blade
install wiper,0.8325714234959991,Wiper blade
surely,0.8311087782839267,Wiper blade
packaged,0.8292240848066026,Wiper blade
wiper works,0.8276188289442363,Wiper blade
delivery highly,0.8274004315595018,Wiper blade
seller good,0.8201178021515664,Wiper blade
prompt,0.816534263516978,Wiper blade
nicely wrapped,0.8158729744361783,Wiper blade
delivery product,0.8115781497824844,Wiper blade
item fit,0.8055966892205885,Wiper blade
purchase seller,0.8035450181248344,Wiper blade
matter,0.8026945539174251,Wiper blade
service received,0.7997665672767968,Wiper blade
good order,0.7997665672767968,Wiper blade
asked,0.7971875780128811,Wiper blade
working fine,0.7967158830913712,Wiper blade
far,0.7947659337998683,Wiper blade
great packing,0.7909055755222381,Wiper blade
great quality,0.7903091816908638,Wiper blade
quality thank,0.7903091816908638,Wiper blade
safe items,0.7898441501864137,Wiper blade
item packed,0.7882199770551188,Wiper blade
reach,0.7877689906781425,Wiper blade
package,0.7868375279846421,Wiper blade
viva works,0.784945630937233,Wiper blade
fit viva,0.784945630937233,Wiper blade
works fine,0.784945630937233,Wiper blade
nice packaging,0.7785887202059836,Wiper blade
thank seller,0.7767261230004905,Wiper blade
great packaging,0.7744804262473215,Wiper blade
wiper alza,0.7720710954299449,Wiper blade
original item,0.7720104767614153,Wiper blade
good brg,0.7654208082413071,Wiper blade
good products,0.7583394000357273,Wiper blade
parts,0.7544147564026835,Wiper blade
months,0.7528476101399254,Wiper blade
delivery months,0.7528476101399254,Wiper blade
months wiper,0.7528476101399254,Wiper blade
doesnt work,0.7528476101399254,Wiper blade
comes free,0.7515996212721123,Wiper blade
time delivery,0.7477410933028672,Wiper blade
best satisfied,0.7447200420263785,Wiper blade
nice fast,0.744414951641185,Wiper blade
unable fit,0.7438077176384619,Wiper blade
unable,0.7438077176384619,Wiper blade
condition satisfied,0.7434104496317276,Wiper blade
use fit,0.7352586526252157,Wiper blade
delivery thank,0.731532655381941,Wiper blade
original works,0.7310704988741906,Wiper blade
type,0.7295429809121196,Wiper blade
beautiful product,0.7294522409270924,Wiper blade
fit nicely,0.7287727789235569,Wiper blade
job order,0.7237206461511607,Wiper blade
order time,0.7237206461511607,Wiper blade
parcel,0.7196184457832391,Wiper blade
try fit,0.7191549130423116,Wiper blade
delivery item,0.7175935466153827,Wiper blade
star,0.7157893537650286,Wiper blade
boxes,0.7148369871798768,Wiper blade
condition thanks,0.7148278284653347,Wiper blade
big,0.7137695137767417,Wiper blade
original wiper,0.7136948388505577,Wiper blade
promised,0.7132544366179961,Wiper blade
model,0.7132263727425213,Wiper blade
condition fits,0.7046336464852849,Wiper blade
courier,0.7037633848851627,Wiper blade
stock,0.7004090858501033,Wiper blade
old stock,0.7004090858501033,Wiper blade
today,0.6985905381199631,Wiper blade
smpi,0.6985728007650406,Wiper blade
brand,0.6963692041370455,Wiper blade
opened,0.6944809949229325,Wiper blade
pricing,0.6936923879625314,Wiper blade
good pricing,0.6936923879625314,Wiper blade
used,0.692238386238558,Wiper blade
bought set,0.6920121829957644,Wiper blade
high quality,0.6913323326438903,Wiper blade
high,0.6913323326438903,Wiper blade
work perfectly,0.6911397692673581,Wiper blade
given,0.6911397692673581,Wiper blade
gift given,0.6911397692673581,Wiper blade
tq small,0.6911397692673581,Wiper blade
delivery days,0.6900978931755294,Wiper blade
totally,0.6868298090056091,Wiper blade
install totally,0.6868298090056091,Wiper blade
totally fit,0.6868298090056091,Wiper blade
fast decent,0.6867978299503957,Wiper blade
decent,0.6867978299503957,Wiper blade
inside,0.6866380884833234,Wiper blade
product excellent,0.6856188555562512,Wiper blade
look,0.68299503442304,Wiper blade
look like,0.68299503442304,Wiper blade
leah serena,0.6823196364599466,Wiper blade
serena dah,0.6823196364599466,Wiper blade
dah asked,0.6823196364599466,Wiper blade
serena,0.6823196364599466,Wiper blade
leah,0.6823196364599466,Wiper blade
asked word,0.6823196364599466,Wiper blade
word,0.6823196364599466,Wiper blade
rain,0.6820470006742416,Wiper blade
fit ngam,0.6811545544563968,Wiper blade
dpt,0.6800272208335929,Wiper blade
livina gear,0.6769016782579631,Wiper blade
gear,0.6769016782579631,Wiper blade
delivery recommended,0.6749720127419424,Wiper blade
improve packaging,0.6749495875717786,Wiper blade
need improve,0.6748878457309564,Wiper blade
quality ok,0.6743025099385356,Wiper blade
axia,0.6740332357142393,Wiper blade
nice shop,0.6731036177492586,Wiper blade
th,0.669866913425262,Wiper blade
trusted seller,0.6658032575553875,Wiper blade
good wiper,0.6649493221817057,Wiper blade
asx,0.6633209726549344,Wiper blade
fit asx,0.6633209726549344,Wiper blade
order pair,0.658433331276425,Wiper blade
pair rear,0.658433331276425,Wiper blade
pair pair,0.658433331276425,Wiper blade
clean,0.6577939305867337,Wiper blade
slightly,0.655727600551765,Wiper blade
ok bossku,0.6537118704298983,Wiper blade
listed delivery,0.6478464907844159,Wiper blade
delivery quick,0.6478464907844159,Wiper blade
installation easy,0.6478464907844159,Wiper blade
received listed,0.6478464907844159,Wiper blade
listed,0.6478464907844159,Wiper blade
boekkk goods,0.6461072195186411,Wiper blade
boekkk,0.6461072195186411,Wiper blade
tqvm,0.6450263095926442,Wiper blade
nice tqvm,0.6450263095926442,Wiper blade
worth buying,0.6448466813561505,Wiper blade
item good,0.6420213876835722,Wiper blade
suitable myvi,0.6411792820919371,Wiper blade
good conditions,0.6409023705685606,Wiper blade
item great,0.6408090856818234,Wiper blade
packing great,0.6408090856818234,Wiper blade
great item,0.6408090856818234,Wiper blade
delivery plus,0.6396554359978417,Wiper blade
plus,0.6396554359978417,Wiper blade
week,0.6395299035126616,Wiper blade
product value,0.6386893816667705,Wiper blade
charm didnt,0.6379859497525981,Wiper blade
didnt,0.6379859497525981,Wiper blade
break bank,0.6379859497525981,Wiper blade
break,0.6379859497525981,Wiper blade
bank,0.6379859497525981,Wiper blade
didnt break,0.6379859497525981,Wiper blade
included,0.6373955542184222,Wiper blade
fit nice,0.636621252644933,Wiper blade
wrong description,0.634523809389156,Wiper blade
delivery day,0.6342555782432983,Wiper blade
nissan,0.633775718969882,Wiper blade
fitted swift,0.633718672745523,Wiper blade
arrived good,0.6333825314371452,Wiper blade
packed item,0.6333825314371452,Wiper blade
condition wiper,0.6333825314371452,Wiper blade
delivery packed,0.6333825314371452,Wiper blade
delivered friday,0.632712256038922,Wiper blade
afternoon delivered,0.632712256038922,Wiper blade
afternoon,0.632712256038922,Wiper blade
ordered thursday,0.632712256038922,Wiper blade
thursday,0.632712256038922,Wiper blade
thursday afternoon,0.632712256038922,Wiper blade
friday,0.632712256038922,Wiper blade
